model.google.model.welda.lambda-0-2.000.topics      0.433   0.074
model.google.model.welda.lambda-0-2.050.topics      0.425   0.074
model.google.model.welda.lambda-0-2.100.topics      0.430   0.072
model.google.model.welda.lambda-0-2.150.topics      0.430   0.075
model.google.model.welda.lambda-0-2.200.topics      0.432   0.074
model.google.model.welda.lambda-0-2.250.topics      0.436   0.075
model.google.model.welda.lambda-0-2.300.topics      0.438   0.074
model.google.model.welda.lambda-0-2.350.topics      0.437   0.073
model.google.model.welda.lambda-0-2.400.topics      0.437   0.072
model.google.model.welda.lambda-0-2.450.topics      0.438   0.070
model.google.model.welda.lambda-0-2.500.topics      0.439   0.073
model.google.model.welda.lambda-0-3.000.topics      0.433   0.074
model.google.model.welda.lambda-0-3.050.topics      0.425   0.074
model.google.model.welda.lambda-0-3.100.topics      0.424   0.073
model.google.model.welda.lambda-0-3.150.topics      0.427   0.074
model.google.model.welda.lambda-0-3.200.topics      0.427   0.075
model.google.model.welda.lambda-0-3.250.topics      0.429   0.076
model.google.model.welda.lambda-0-3.300.topics      0.431   0.076
model.google.model.welda.lambda-0-3.350.topics      0.433   0.075
model.google.model.welda.lambda-0-3.400.topics      0.433   0.075
model.google.model.welda.lambda-0-3.450.topics      0.433   0.075
model.google.model.welda.lambda-0-3.500.topics      0.433   0.075
model.google.model.welda.lambda-0-4.000.topics      0.433   0.074
model.google.model.welda.lambda-0-4.050.topics      0.427   0.077
model.google.model.welda.lambda-0-4.100.topics      0.429   0.075
model.google.model.welda.lambda-0-4.150.topics      0.430   0.074
model.google.model.welda.lambda-0-4.200.topics      0.432   0.073
model.google.model.welda.lambda-0-4.250.topics      0.435   0.074
model.google.model.welda.lambda-0-4.300.topics      0.436   0.075
model.google.model.welda.lambda-0-4.350.topics      0.437   0.075
model.google.model.welda.lambda-0-4.400.topics      0.437   0.075
model.google.model.welda.lambda-0-4.450.topics      0.438   0.075
model.google.model.welda.lambda-0-4.500.topics      0.438   0.076
model.google.model.welda.lambda-0-5.000.topics      0.433   0.074
model.google.model.welda.lambda-0-5.050.topics      0.427   0.075
model.google.model.welda.lambda-0-5.100.topics      0.433   0.071
model.google.model.welda.lambda-0-5.150.topics      0.438   0.072
model.google.model.welda.lambda-0-5.200.topics      0.436   0.075
model.google.model.welda.lambda-0-5.250.topics      0.439   0.076
model.google.model.welda.lambda-0-5.300.topics      0.441   0.075
model.google.model.welda.lambda-0-5.350.topics      0.442   0.075
model.google.model.welda.lambda-0-5.400.topics      0.443   0.075
model.google.model.welda.lambda-0-5.450.topics      0.441   0.074
model.google.model.welda.lambda-0-5.500.topics      0.441   0.075
model.google.model.welda.lambda-0-6.000.topics      0.433   0.074
model.google.model.welda.lambda-0-6.050.topics      0.422   0.077
model.google.model.welda.lambda-0-6.100.topics      0.429   0.075
model.google.model.welda.lambda-0-6.150.topics      0.430   0.074
model.google.model.welda.lambda-0-6.200.topics      0.435   0.073
model.google.model.welda.lambda-0-6.250.topics      0.435   0.073
model.google.model.welda.lambda-0-6.300.topics      0.435   0.073
model.google.model.welda.lambda-0-6.350.topics      0.435   0.073
model.google.model.welda.lambda-0-6.400.topics      0.436   0.075
model.google.model.welda.lambda-0-6.450.topics      0.437   0.073
model.google.model.welda.lambda-0-6.500.topics      0.437   0.074
model.google.model.welda.lambda-0-7.000.topics      0.433   0.074
model.google.model.welda.lambda-0-7.050.topics      0.431   0.083
model.google.model.welda.lambda-0-7.100.topics      0.430   0.077
model.google.model.welda.lambda-0-7.150.topics      0.429   0.077
model.google.model.welda.lambda-0-7.200.topics      0.431   0.079
model.google.model.welda.lambda-0-7.250.topics      0.433   0.079
model.google.model.welda.lambda-0-7.300.topics      0.436   0.078
model.google.model.welda.lambda-0-7.350.topics      0.435   0.077
model.google.model.welda.lambda-0-7.400.topics      0.436   0.078
model.google.model.welda.lambda-0-7.450.topics      0.436   0.078
model.google.model.welda.lambda-0-7.500.topics      0.437   0.077
model.google.model.welda.lambda-0-8.000.topics      0.433   0.074
model.google.model.welda.lambda-0-8.050.topics      0.441   0.089
model.google.model.welda.lambda-0-8.100.topics      0.442   0.087
model.google.model.welda.lambda-0-8.150.topics      0.439   0.089
model.google.model.welda.lambda-0-8.200.topics      0.436   0.092
model.google.model.welda.lambda-0-8.250.topics      0.436   0.093
model.google.model.welda.lambda-0-8.300.topics      0.440   0.095
model.google.model.welda.lambda-0-8.350.topics      0.441   0.095
model.google.model.welda.lambda-0-8.400.topics      0.442   0.095
model.google.model.welda.lambda-0-8.450.topics      0.441   0.095
model.google.model.welda.lambda-0-8.500.topics      0.440   0.094
model.google.model.welda.lambda-0-9.000.topics      0.433   0.074
model.google.model.welda.lambda-0-9.050.topics      0.434   0.090
model.google.model.welda.lambda-0-9.100.topics      0.430   0.084
model.google.model.welda.lambda-0-9.150.topics      0.426   0.080
model.google.model.welda.lambda-0-9.200.topics      0.427   0.080
model.google.model.welda.lambda-0-9.250.topics      0.427   0.081
model.google.model.welda.lambda-0-9.300.topics      0.428   0.080
model.google.model.welda.lambda-0-9.350.topics      0.427   0.080
model.google.model.welda.lambda-0-9.400.topics      0.428   0.080
model.google.model.welda.lambda-0-9.450.topics      0.427   0.082
model.google.model.welda.lambda-0-9.500.topics      0.427   0.082
